GenusSpecies,Genus,Species,Family,SubOrder,body_colors,body_colortypes,body_patterns,mate_guarding,flight_mode,territoriality,continents,aquatic_habitats,climates,ecozones,habitat_openness,citations,ISBN,DOI,sex_polymorphisms,sex_dimorphisms,geo_polymorphisms,body_lengths,forewing_lengths,hindwing_lengths,has_wing_pigment,wing_pigment_extent_discrete,wing_pigment_extent_continuous,wing_pigment_pattern,wing_pigment_symmetry,wing_pigment_dimorphism,wing_pigment_color,wing_pigment_placement,wing_pigment_color_type,female_has_wing_pigment,female_wing_pigment_extent_discrete,female_wing_pigment_extent_continuous,female_wing_pigment_placement,female_body_lengths,female_hindwing_lengths,female_forewing_lengths
Aeshna serrata,Aeshna,serrata,Aeshnidae,Anisoptera,black,pigment,spotted,NA,flier,territorial,asia,lake,NA,palearctic,closed,Askew (1988),978-0946589104,NA,NA,strong,NA,78,NA,50.5,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna serrata,Aeshna,serrata,Aeshnidae,Anisoptera,blue,NA,NA,NA,NA,NA,europe,wetland,NA,NA,open,Dijkstra and Lewington (2006),978-0953139941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna serrata,Aeshna,serrata,Aeshnidae,Anisoptera,brown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna sitchensis,Aeshna,sitchensis,Aeshnidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna sitchensis,Aeshna,sitchensis,Aeshnidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dsc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna sitchensis,Aeshna,sitchensis,Aeshnidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dwb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna sitchensis,Aeshna,sitchensis,Aeshnidae,Anisoptera,blue,pigment,spotted,NA,percher,NA,north america,ephemeral,Dfb,nearctic,closed,Paulson (2009),978-0691122816,NA,females,strong,monomorphic,59.5,NA,38.5,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna sitchensis,Aeshna,sitchensis,Aeshnidae,Anisoptera,brown,NA,striped,NA,NA,NA,NA,pond,Dfc,NA,semi,Paulson (2012),978-0691122830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna subarctica,Aeshna,subarctica,Aeshnidae,Anisoptera,black,pigment,spotted,none,flier,territorial,asia,wetland,Dfa,nearctic,open,Askew (1988),978-0946589104,NA,females,weak,NA,74,NA,42.5,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,45,NA
Aeshna subarctica,Aeshna,subarctica,Aeshnidae,Anisoptera,blue,NA,striped,NA,NA,NA,europe,NA,Dfb,palearctic,NA,Dijkstra and Lewington (2006),978-0953139941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna subarctica,Aeshna,subarctica,Aeshnidae,Anisoptera,brown,NA,NA,NA,NA,NA,north america,NA,Dfc,NA,NA,Sugimura et al (2001),9.78483E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna subarctica,Aeshna,subarctica,Aeshnidae,Anisoptera,green,NA,NA,NA,NA,NA,NA,NA,Dsb,NA,NA,Onzono et al (2012),9.78483E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna subarctica,Aeshna,subarctica,Aeshnidae,Anisoptera,yellow,NA,NA,NA,NA,NA,NA,NA,Dwb,NA,NA,Paulson (2012),978-0691122830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna tuberculifera,Aeshna,tuberculifera,Aeshnidae,Anisoptera,green,NA,NA,NA,NA,NA,NA,wetland,Dfa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna tuberculifera,Aeshna,tuberculifera,Aeshnidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dfb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna tuberculifera,Aeshna,tuberculifera,Aeshnidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dfc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna tuberculifera,Aeshna,tuberculifera,Aeshnidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna tuberculifera,Aeshna,tuberculifera,Aeshnidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dwb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna tuberculifera,Aeshna,tuberculifera,Aeshnidae,Anisoptera,blue,pigment,spotted,none,flier,NA,north america,lake,Cfa,nearctic,closed,Paulson (2009),978-0691122816,NA,females,weak,NA,75.5,NA,47,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna tuberculifera,Aeshna,tuberculifera,Aeshnidae,Anisoptera,brown,NA,NA,NA,NA,NA,NA,pond,Cfb,NA,NA,Paulson (2012),978-0691122830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna umbrosa,Aeshna,umbrosa,Aeshnidae,Anisoptera,blue,pigment,spotted,NA,flier,NA,north america,lake,BSk,nearctic,closed,Biggs (2000),9.78097E+12,NA,females,weak,NA,68.5,NA,44,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna umbrosa,Aeshna,umbrosa,Aeshnidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dfa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna umbrosa,Aeshna,umbrosa,Aeshnidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dfb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna umbrosa,Aeshna,umbrosa,Aeshnidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dfc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna umbrosa,Aeshna,umbrosa,Aeshnidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna umbrosa,Aeshna,umbrosa,Aeshnidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dwb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna umbrosa,Aeshna,umbrosa,Aeshnidae,Anisoptera,brown,NA,striped,NA,NA,NA,NA,pond,Cfa,NA,NA,Paulson (2009),978-0691122816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna umbrosa,Aeshna,umbrosa,Aeshnidae,Anisoptera,green,NA,NA,NA,NA,NA,NA,stream,Cfb,NA,NA,Paulson (2012),978-0691122830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna walkeri,Aeshna,walkeri,Aeshnidae,Anisoptera,blue,pigment,spotted,NA,flier,NA,north america,pond,BWh,nearctic,semi,Biggs (2000),9.78097E+12,NA,females,strong,NA,66.5,NA,45.5,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna walkeri,Aeshna,walkeri,Aeshnidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Csb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna walkeri,Aeshna,walkeri,Aeshnidae,Anisoptera,brown,NA,striped,NA,NA,NA,NA,stream,Csa,neotropical,NA,Paulson (2009),978-0691122816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna verticalis,Aeshna,verticalis,Aeshnidae,Anisoptera,brown,NA,NA,NA,NA,NA,NA,stream,Dfb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna verticalis,Aeshna,verticalis,Aeshnidae,Anisoptera,green,NA,NA,NA,NA,NA,NA,NA,Dfc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna verticalis,Aeshna,verticalis,Aeshnidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dwb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna verticalis,Aeshna,verticalis,Aeshnidae,Anisoptera,black,pigment,spotted,NA,flier,NA,north america,lake,Cfa,nearctic,closed,Paulson (2009),978-0691122816,NA,females,strong,NA,67,NA,44,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna verticalis,Aeshna,verticalis,Aeshnidae,Anisoptera,blue,NA,striped,NA,NA,NA,NA,pond,Dfa,NA,NA,Paulson (2012),978-0691122830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna viridis,Aeshna,viridis,Aeshnidae,Anisoptera,black,pigment,spotted,none,flier,territorial,asia,lake,NA,palearctic,closed,Askew (1988),978-0946589104,NA,NA,strong,NA,70,NA,43,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna viridis,Aeshna,viridis,Aeshnidae,Anisoptera,blue,NA,NA,NA,NA,NA,europe,wetland,NA,NA,open,Dijkstra and Lewington (2006),978-0953139941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aethriamanta brevipennis,Aethriamanta,brevipennis,Libellulidae,Anisoptera,black,pigment,plain,NA,percher,territorial,asia,lake,Af,indomalaya,NA,Hamalainen and Pinratana (1999),9.78975E+12,NA,monomorphic,strong,NA,26.5,NA,24.5,yes,25,0.13,NA,symmetric pigment,not dimorphic,brown,basal,pigment,yes,25,0.13,basal,NA,24,NA
Aethriamanta brevipennis,Aethriamanta,brevipennis,Libellulidae,Anisoptera,brown,NA,NA,NA,NA,NA,NA,pond,Am,NA,NA,Nair (2011),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,red,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aethriamanta brevipennis,Aethriamanta,brevipennis,Libellulidae,Anisoptera,pink,NA,NA,NA,NA,NA,NA,wetland,Aw,NA,NA,Subramanian (2005),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aethriamanta brevipennis,Aethriamanta,brevipennis,Libellulidae,Anisoptera,red,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bun et al (2010),978-9810861551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aethriamanta brevipennis,Aethriamanta,brevipennis,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tze-wai et al (2011),978-988-211-399-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aethriamanta rezia,Aethriamanta,rezia,Libellulidae,Anisoptera,black,pigment,plain,NA,percher,NA,afrika,ephemeral,NA,afrotropical,semi,Samways (2008),9.78955E+12,NA,NA,weak,NA,28,NA,21.5,yes,10,0.05,NA,hindwing more pigment,weakly dimorphic,brown,basal,pigment,yes,25,0.18,basal,NA,NA,NA
Aethriamanta rezia,Aethriamanta,rezia,Libellulidae,Anisoptera,red,NA,striped,NA,NA,NA,NA,NA,NA,NA,NA,Suhling and Martens (2007),9.78999E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,red,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aethriamanta rezia,Aethriamanta,rezia,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tarboton and Tarboton (2002),0-620-29887-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africallagma elongatum,Africallagma,elongatum,Coenagrionidae,Zygoptera,black,pigment,striped,NA,percher,territorial,afrika,stream,NA,afrotropical,closed,Samways (2008),9.78955E+12,NA,NA,weak,NA,30,NA,17,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africallagma elongatum,Africallagma,elongatum,Coenagrionidae,Zygoptera,blue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tarboton and Tarboton (2005),0-620-33878-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africallagma glaucum,Africallagma,glaucum,Coenagrionidae,Zygoptera,black,pigment,striped,contact,percher,NA,afrika,river,NA,afrotropical,open,Dijkstra and Clausnitzer (2014),978-9491615061,NA,males,strong,monomorphic,28,NA,16,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africallagma glaucum,Africallagma,glaucum,Coenagrionidae,Zygoptera,blue,NA,NA,NA,NA,NA,NA,stream,NA,NA,semi,Samways (2008),9.78955E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africallagma glaucum,Africallagma,glaucum,Coenagrionidae,Zygoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Suhling and Martens (2007),9.78999E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africallagma glaucum,Africallagma,glaucum,Coenagrionidae,Zygoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tarboton and Tarboton (2005),0-620-33878-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africallagma sapphirinum,Africallagma,sapphirinum,Coenagrionidae,Zygoptera,black,pigment,striped,NA,percher,territorial,afrika,pond,NA,afrotropical,semi,Samways (2008),9.78955E+12,NA,NA,strong,NA,25,NA,14,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA
Africallagma sapphirinum,Africallagma,sapphirinum,Coenagrionidae,Zygoptera,blue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tarboton and Tarboton (2005),0-620-33878-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africallagma sinuatum,Africallagma,sinuatum,Coenagrionidae,Zygoptera,black,pigment,striped,NA,percher,NA,afrika,stream,NA,afrotropical,semi,Dijkstra and Clausnitzer (2014),978-9491615061,NA,NA,weak,NA,34,NA,19.25,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africallagma sinuatum,Africallagma,sinuatum,Coenagrionidae,Zygoptera,blue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Samways (2008),9.78955E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africallagma sinuatum,Africallagma,sinuatum,Coenagrionidae,Zygoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tarboton and Tarboton (2005),0-620-33878-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agriocnemis exilis,Agriocnemis,exilis,Coenagrionidae,Zygoptera,red,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agriocnemis exilis,Agriocnemis,exilis,Coenagrionidae,Zygoptera,black,pigment,striped,NA,percher,non-territorial,afrika,stream,NA,afrotropical,semi,Samways (2008),9.78955E+12,NA,males,strong,monomorphic,19,NA,9,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA
Agriocnemis exilis,Agriocnemis,exilis,Coenagrionidae,Zygoptera,green,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tarboton and Tarboton (2005),0-620-33878-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agriocnemis exsudans,Agriocnemis,exsudans,Coenagrionidae,Zygoptera,black,pigment,plain,NA,percher,NA,australia,lake,NA,australasia,closed,Marinov and Waqa-Sakiti (2013),9.78982E+12,NA,monomorphic,strong,NA,24,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agriocnemis exsudans,Agriocnemis,exsudans,Coenagrionidae,Zygoptera,white,pruinescence,striped,NA,NA,NA,NA,stream,NA,oceania,open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agriocnemis falcifera,Agriocnemis,falcifera,Coenagrionidae,Zygoptera,black,pigment,plain,NA,percher,non-territorial,afrika,stream,NA,afrotropical,semi,Samways (2008),9.78955E+12,NA,NA,strong,NA,24,NA,11.5,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA
Agriocnemis falcifera,Agriocnemis,falcifera,Coenagrionidae,Zygoptera,blue,pruinescence,striped,NA,NA,NA,NA,NA,NA,NA,NA,Tarboton and Tarboton (2005),0-620-33878-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agriocnemis gratiosa,Agriocnemis,gratiosa,Coenagrionidae,Zygoptera,black,pigment,striped,NA,percher,non-territorial,afrika,pond,NA,afrotropical,closed,Dijkstra and Clausnitzer (2014),978-9491615061,NA,NA,strong,NA,24,NA,12,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA
Agriocnemis gratiosa,Agriocnemis,gratiosa,Coenagrionidae,Zygoptera,green,structural,NA,NA,NA,NA,NA,stream,NA,NA,open,Samways (2008),9.78955E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agriocnemis gratiosa,Agriocnemis,gratiosa,Coenagrionidae,Zygoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tarboton and Tarboton (2005),0-620-33878-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agriocnemis lacteola,Agriocnemis,lacteola,Coenagrionidae,Zygoptera,green,NA,striped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agriocnemis lacteola,Agriocnemis,lacteola,Coenagrionidae,Zygoptera,white,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agriocnemis lacteola,Agriocnemis,lacteola,Coenagrionidae,Zygoptera,black,pigment,plain,NA,flier,NA,asia,wetland,Aw,indomalaya,NA,Nair (2011),NA,NA,monomorphic,strong,NA,NA,NA,10,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA
Agriocnemis pinheyi,Agriocnemis,pinheyi,Coenagrionidae,Zygoptera,red,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agriocnemis pinheyi,Agriocnemis,pinheyi,Coenagrionidae,Zygoptera,black,pigment,striped,NA,percher,NA,afrika,river,NA,afrotropical,semi,Samways (2008),9.78955E+12,NA,males,weak,NA,20,NA,10,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA
Agriocnemis pinheyi,Agriocnemis,pinheyi,Coenagrionidae,Zygoptera,green,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tarboton and Tarboton (2005),0-620-33878-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agriocnemis pygmaea,Agriocnemis,pygmaea,Coenagrionidae,Zygoptera,black,pigment,plain,NA,flier,territorial,asia,pond,Aw,australasia,NA,Nair (2011),NA,NA,females,strong,NA,22,NA,10,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,10,NA
Agriocnemis pygmaea,Agriocnemis,pygmaea,Coenagrionidae,Zygoptera,green,NA,spotted,NA,NA,NA,australia,wetland,BSh,indomalaya,NA,Onzono et al (2012),9.78483E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agriocnemis pygmaea,Agriocnemis,pygmaea,Coenagrionidae,Zygoptera,orange,NA,striped,NA,NA,NA,NA,NA,Cfa,palearctic,NA,Subramanian (2005),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agriocnemis pygmaea,Agriocnemis,pygmaea,Coenagrionidae,Zygoptera,yellow,NA,NA,NA,NA,NA,NA,NA,Cfb,NA,NA,Bun et al (2010),978-9810861551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agriocnemis pygmaea,Agriocnemis,pygmaea,Coenagrionidae,Zygoptera,NA,NA,NA,NA,NA,NA,NA,NA,Cwa,NA,NA,Theischinger and Hawking (2006),9.78064E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agriocnemis ruberrima,Agriocnemis,ruberrima,Coenagrionidae,Zygoptera,black,pigment,plain,NA,percher,non-territorial,afrika,wetland,NA,afrotropical,semi,Dijkstra and Clausnitzer (2014),978-9491615061,NA,NA,weak,males polymorphic,21,NA,10,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA
Agriocnemis ruberrima,Agriocnemis,ruberrima,Coenagrionidae,Zygoptera,orange,pruinescence,striped,NA,NA,NA,NA,NA,NA,NA,NA,Samways (2008),9.78955E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agriocnemis ruberrima,Agriocnemis,ruberrima,Coenagrionidae,Zygoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tarboton and Tarboton (2005),0-620-33878-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agrionoptera sexlineata,Agrionoptera,sexlineata,Libellulidae,Anisoptera,blue,pruinescence,striped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agrionoptera sexlineata,Agrionoptera,sexlineata,Libellulidae,Anisoptera,red,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agrionoptera sexlineata,Agrionoptera,sexlineata,Libellulidae,Anisoptera,yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agrionoptera sexlineata,Agrionoptera,sexlineata,Libellulidae,Anisoptera,black,pigment,spotted,noncontact,percher,NA,asia,pond,Af,indomalaya,NA,Bun et al (2010),978-9810861551,NA,monomorphic,weak,NA,42,NA,35,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allocnemis leucosticta,Allocnemis,leucosticta,Platycnemididae,Zygoptera,black,pigment,striped,NA,percher,NA,afrika,stream,NA,afrotropical,closed,Samways (2008),9.78955E+12,NA,NA,weak,NA,42,NA,23,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA
